# Google_Product_Taxonomy_Version: 2015-02-19
Adultos
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Romãs
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Sapodillos
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Sapotas
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Tamarindos
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Tâmaras
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Uvas
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas secas
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes em conserva e enlatados
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Abóboras e cabaços
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Agrião
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Aipos
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Alcachofra-brava
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Alcachofra-de-jerusalém
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Alcachofras
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Alho
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Alho-poró
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Aspargos
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Batatas
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Batatas doces
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Berinjelas
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Beterrabas
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Borragem
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Brotos
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Brócolis
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Bulbos de funcho
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Cana de açúcar
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Castanha-d'água
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Cebolas
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Cenouras
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Chalotas
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Cherovia
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Cogumelos
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Couve-flor
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Couve-rábano
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Couves-de-bruxelas
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Ervilhas
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Feijões
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Folhas de cacto
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Grama de trigo
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Inhame
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Jicamas
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Kai-lan
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Malangas
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Mandioca
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Mandioquinha
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Milho
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Misturas de legumes
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Mostarda-castanha
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Nabos e nutabagas
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Pepinos
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Pimentas
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Quiabo
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Rabanetes
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Raiz de taro
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Raiz-forte
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Raíz de lótus
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Raízes de aipo
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Raízes de bardana
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Raízes de gengibre
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Raízes de salsa
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Repolho
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Ruibarbos
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Samambaias fiddlehead
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Tamarilhos
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Tomates
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Verduras
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Verduras > Acelga
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Verduras > Alface
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Verduras > Chicória
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Verduras > Choi sum
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Verduras > Couve-de-folhas
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Verduras > Espinafre
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Verduras > Espinafre de água
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Verduras > Folhas de beterraba
